,GENERAL JOURNAL,,,,,,,,,GENERAL JOURNAL,,,,,,
,1/13/2024,1205,D,Fixed Asset – IT Equipment,"12,000,000.00",,Pembelian 10 unit CCTV kepada PT. Indojaya Electric dengan harga Rp. 1.200.000/unit,,,12-Feb-24,2105,K,VAT Out,,"102,217,500.00","Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-"
,1/13/2024,1108,D,Prepaid VAT In,"1,320,000.00",,Pembelian 10 unit CCTV kepada PT. Indojaya Electric dengan harga Rp. 1.200.000/unit,,,12-Feb-24,1104,K,Inventory – Finished Goods,,"286,650,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-"
,1/13/2024,2102,K,Other Payable – Non Related Parties,,"13,320,000.00",Pembelian 10 unit CCTV kepada PT. Indojaya Electric dengan harga Rp. 1.200.000/unit,,,12-Feb-24,5101,D,COGS,"286,650,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-"
,,,,,,,,,,12-Feb-24,1103,D,AR Trade Local – Non Related Parties,"1,031,467,500.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 10.500 Pcs dengan harga @88.500 sebesar Rp. 929.250.000,-"
,1/15/2024,1207,D,Intangible Asset,"200,000,000.00",,"Pembelian software enginering CATIA kepada PT. Daya Digital Indonesia seharga Rp. 200.000.000,-",,,,,,,,,
,1/15/2024,1108,D,Prepaid VAT In,"22,000,000.00",,"Pembelian software enginering CATIA kepada PT. Daya Digital Indonesia seharga Rp. 200.000.000,-",,,12-Feb-24,2102,D,Other Payable – Non Related Parties,"13,320,000.00",,Pembayaran tagihan PT. Indojaya Electric atas pembelian 10 unit CCTV untuk invoice tanggal 13 Januari 2024.
,1/15/2024,2102,K,Other Payable – Non Related Parties,,"222,000,000.00","Pembelian software enginering CATIA kepada PT. Daya Digital Indonesia seharga Rp. 200.000.000,-",,,12-Feb-24,1101,K,Cash / Bank,,"13,320,000.00",Pembayaran tagihan PT. Indojaya Electric atas pembelian 10 unit CCTV untuk invoice tanggal 13 Januari 2024.
,,,,,,,,,,,,,,,,
,1/15/2024,1107,D,Prepaid Other Expense,"60,000,000.00",,"Pembelian license software enginering CATIA dari PT. Daya Digital Indonesia selama satu tahun sebesar Rp. 60.000.000,-",,,12-Feb-24,1109,D,Advance Payment – Others,"35,000,000.00",,"Pengajuan Uang Muka perjalanan dinas luar negeri ke Jepang untuk meeting dengan PT. Takagi International dengan biaya Rp. 35.000.000,-"
,1/15/2024,1108,D,Prepaid VAT In,"6,600,000.00",,"Pembelian license software enginering CATIA dari PT. Daya Digital Indonesia selama satu tahun sebesar Rp. 60.000.000,-",,,12-Feb-24,1101,K,Cash / Bank,,"35,000,000.00","Pengajuan Uang Muka perjalanan dinas luar negeri ke Jepang untuk meeting dengan PT. Takagi International dengan biaya Rp. 35.000.000,-"
,1/15/2024,2102,K,Other Payable – Non Related Parties,,"66,600,000.00","Pembelian license software enginering CATIA dari PT. Daya Digital Indonesia selama satu tahun sebesar Rp. 60.000.000,-",,,,,,,,,
,,,,,,,,,,14-Feb-24,2102,D,Other Payable – Non Related Parties,"66,600,000.00",,Pembayaran tagihan PT. Daya Digital Indonesia atas annual licensing Software Enginering CATIA invoice tanggal 15 Januari 2024.
,1/20/2024,6105,D,Training Expense,"20,000,000.00",,"Pembelian PT. Konsultan Enginering atas jasa pelatihan pembuatan model X sebesar Rp. 20.000.000,-",,,14-Feb-24,1101,K,Cash / Bank,,"66,600,000.00",Pembayaran tagihan PT. Daya Digital Indonesia atas annual licensing Software Enginering CATIA invoice tanggal 15 Januari 2024.
,1/20/2024,1108,D,Prepaid VAT In,"2,200,000.00",,"Pembelian PT. Konsultan Enginering atas jasa pelatihan pembuatan model X sebesar Rp. 20.000.000,-",,,,,,,,,
,1/20/2024,2104,K,Art 23 Payable,,"400,000.00","Pembelian PT. Konsultan Enginering atas jasa pelatihan pembuatan model X sebesar Rp. 20.000.000,-",,,14-Feb-24,2102,D,Other Payable – Non Related Parties,"222,000,000.00",,Pembayaran tagihan PT. Daya Digital Indonesia atas pembelian Software Enginering CATIA invoice tanggal 15 Januari 2024.
,1/20/2024,2102,K,Other Payable – Non Related Parties,,"21,800,000.00","Pembelian PT. Konsultan Enginering atas jasa pelatihan pembuatan model X sebesar Rp. 20.000.000,-",,,14-Feb-24,1101,K,Cash / Bank,,"222,000,000.00",Pembayaran tagihan PT. Daya Digital Indonesia atas pembelian Software Enginering CATIA invoice tanggal 15 Januari 2024.
,,,,,,,,,,,,,,,,
,1/20/2024,2102,D,Other Payable – Non Related Parties,"166,500,000.00",,"Pembayaran tagihan PT. Era Jaya Swasembada Tbk untuk pembelian laptop sebesar Rp. 166,500,000.00,- invoice tanggal 05 Januari 2024.",,,14-Feb-24,4101,K,Sales,,"1,015,450,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- "
,1/20/2024,1101,K,Cash / Bank,,"166,500,000.00","Pembayaran tagihan PT. Era Jaya Swasembada Tbk untuk pembelian laptop sebesar Rp. 166,500,000.00,- invoice tanggal 05 Januari 2024.",,,14-Feb-24,2105,K,VAT Out,,"111,699,500.00","Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- "
,,,,,,,,,,14-Feb-24,1104,K,Inventory – Finished Goods,,"313,950,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- "
,1/20/2024,2102,D,Other Payable – Non Related Parties,"16,650,000.00",,"Pembayaran tagihan PT. Anugrah Terindah untuk perlengkapan kantor sebesar Rp. 16,650,000.00.- invoice tanggal 05 Januari 2024.",,,14-Feb-24,5101,D,COGS,"313,950,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- "
,1/20/2024,1101,K,Cash / Bank,,"16,650,000.00","Pembayaran tagihan PT. Anugrah Terindah untuk perlengkapan kantor sebesar Rp. 16,650,000.00.- invoice tanggal 05 Januari 2024.",,,14-Feb-24,1103,D,AR Trade Local – Non Related Parties,"1,127,149,500.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Yamaha Indonesia ssebanyak 11.500 Pcs dengan harga @88.300 sebesar Rp. 1.015.450.000,- "
,,,,,,,,,,,,,,,,
,1/25/2024,6102,D,Salaries Expense – DL,"500,000,000.00",,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",,,15-Feb-24,6109,D,Office Supplies Expense,"3,500,000.00",,"Pembelian office supplies sebesar Rp. 3.500.000,- yang dibayarkan secara tunai."
,1/25/2024,6103,D,Salaries Expense – IDL,"100,000,000.00",,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",,,15-Feb-24,1108,D,Prepaid VAT In,"385,000.00",,"Pembelian office supplies sebesar Rp. 3.500.000,- yang dibayarkan secara tunai."
,1/25/2024,6104,D,Salaries Expense – GA,"150,000,000.00",,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",,,15-Feb-24,1101,K,Cash / Bank,,"3,885,000.00","Pembelian office supplies sebesar Rp. 3.500.000,- yang dibayarkan secara tunai."
,1/25/2024,2103,K,Art 21 Payable,,"55,000,000.00","Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",,,,,,,,,
,1/25/2024,1101,K,Cash / Bank,,"695,000,000.00","Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",,,15-Feb-24,2103,D,Art 21 Payable,"55,000,000.00",,Pembayaran PPh 21 dan PPh 23 untuk masa pajak Januari 2024
,,,,,,,,,,15-Feb-24,2104,D,Art 23 Payable,"4,800,000.00",,Pembayaran PPh 21 dan PPh 23 untuk masa pajak Januari 2024
,1/27/2024,4101,K,Sales,,"400,000,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-",,,15-Feb-24,1101,K,Cash / Bank,,"59,800,000.00",Pembayaran PPh 21 dan PPh 23 untuk masa pajak Januari 2024
,1/27/2024,2105,K,VAT Out,,"44,000,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-",,,,,,,,,
,1/27/2024,1104,K,Inventory – Finished Goods,,"200,000,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-",,,17-Feb-24,6110,D,Office Travel Expense – Overseas,"35,000,000.00",,"Pembayaran tagihan perjalanan dinas ke jepang sebesar Rp. 35.000.000,- yang diajukan tanggal 12 Februari 2024 "
,1/27/2024,5101,D,COGS,"200,000,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-",,,17-Feb-24,1109,K,Advance Payment – Others,,"35,000,000.00","Pembayaran tagihan perjalanan dinas ke jepang sebesar Rp. 35.000.000,- yang diajukan tanggal 12 Februari 2024 "
,1/27/2024,1103,D,AR Trade Local – Non Related Parties,"444,000,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-",,,,,,,,,
,,,,,,,,,,19-Feb-24,4101,K,Sales,,"987,800,000.00","Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-"
,1/30/2024,4101,K,Sales,,"372,000,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-",,,19-Feb-24,2105,K,VAT Out,,"108,658,000.00","Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-"
,1/30/2024,2105,K,VAT Out,,"40,920,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-",,,19-Feb-24,1104,K,Inventory – Finished Goods,,"300,300,000.00","Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-"
,1/30/2024,1104,K,Inventory – Finished Goods,,"150,000,000.00","Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-",,,19-Feb-24,5101,D,COGS,"300,300,000.00",,"Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-"
,1/30/2024,5101,D,COGS,"150,000,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-",,,19-Feb-24,1103,D,AR Trade Local – Non Related Parties,"1,096,458,000.00",,"Menjual Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 11.000 Pcs dengan harga @89.800 sebesar Rp. 987.800.000,-"
,1/30/2024,1103,D,AR Trade Local – Non Related Parties,"412,920,000.00",,"Penjualan Wiring Harness ZX 234 kepada PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000.000,-",,,,,,,,,
,,,,,,,,,,21-Feb-24,4101,K,Sales,,"1,168,750,000.00","Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer."
,1/31/2024,6107,D,Internet Expense,"10,000,000.00",,"Penerimaan tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 sebesar Rp. 10.000.000,-",,,21-Feb-24,2105,K,VAT Out,,"128,562,500.00","Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer."
,1/31/2024,1108,D,Prepaid VAT In,"1,100,000.00",,"Penerimaan tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 sebesar Rp. 10.000.000,-",,,21-Feb-24,1104,K,Inventory – Finished Goods,,"341,250,000.00","Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer."
,1/31/2024,2104,K,Art 23 Payable,,"200,000.00","Penerimaan tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 sebesar Rp. 10.000.000,-",,,21-Feb-24,5101,D,COGS,"341,250,000.00",,"Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer."
,1/31/2024,2102,K,Other Payable – Non Related Parties,,"10,900,000.00","Penerimaan tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 sebesar Rp. 10.000.000,-",,,21-Feb-24,1103,D,AR Trade Local – Non Related Parties,"1,297,312,500.00",,"Menjual Wiring Harness ZX 234 kepada PT. Suzuki Indonesia sebanyak 12.500 Pcs dengan harga @93.500 sebesar Rp. 1.168.750.000,- dengan TOP 30 hari sejak invoice diterima Customer."
,,,,,,,,,,,,,,,,
,1/31/2024,6108,D,Trucking Expense,"200,000,000.00",,Penerimaan tagihan PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 dengan biaya Rp. 50.000.000/unit,,,23-Feb-24,6102,D,Salaries Expense – DL,"1,750,000,000.00",,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-"
,1/31/2024,1108,D,Prepaid VAT In,"22,000,000.00",,Penerimaan tagihan PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 dengan biaya Rp. 50.000.000/unit,,,23-Feb-24,6103,D,Salaries Expense – IDL,"750,000,000.00",,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-"
