,14-Feb-24,1101,K,Pembayaran tagihan PT. Daya Digital Indonesia atas pembelian Software Enginering CATIA invoice tanggal 15 Januari 2024.,0.00,"222,000,000.00","50,000,000,000.00","34,021,870,000.00",,,1/15/2024,2102,K,"Pembelian license software enginering CATIA dari PT. Daya Digital Indonesia selama satu tahun sebesar Rp. 60.000.000,-",0.00,"66,600,000.00",0.00,"11,429,470,000.00",,,,,,,,,,,,,End Balance Bulan Januari,,,,,,"-145,000,000.00",,,,,,,,,,,,,,,,,,,,,
,15-Feb-24,1101,K,Pembayaran PPh 21 dan PPh 23 untuk masa pajak Januari 2024,0.00,"59,800,000.00","50,000,000,000.00","34,081,670,000.00",,,1/15/2024,2102,K,"Pembelian software enginering CATIA kepada PT. Daya Digital Indonesia seharga Rp. 200.000.000,-",0.00,"222,000,000.00",0.00,"11,651,470,000.00",,,Account 3201 (Add Paid in Capital – PT. Dharma Automotive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account 6103 (Salaries Expense – IDL),,,,,,,
,15-Feb-24,1101,K,"Pembelian office supplies sebesar Rp. 3.500.000,- yang dibayarkan secara tunai.",0.00,"3,885,000.00","50,000,000,000.00","34,085,555,000.00",,,1/20/2024,2102,D,"Pembayaran tagihan PT. Anugrah Terindah untuk perlengkapan kantor sebesar Rp. 16,650,000.00.- invoice tanggal 05 Januari 2024.","16,650,000.00",0.00,"16,650,000.00","11,651,470,000.00",,,Februari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Januari,,,,,,,
,23-Feb-24,1101,K,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-",0.00,"2,750,000,000.00","50,000,000,000.00","36,835,555,000.00",,,1/20/2024,2102,D,"Pembayaran tagihan PT. Era Jaya Swasembada Tbk untuk pembelian laptop sebesar Rp. 166,500,000.00,- invoice tanggal 05 Januari 2024.","166,500,000.00",0.00,"183,150,000.00","11,651,470,000.00",,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,,,,,,,,,,,,,,,,,,,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit
,26-Feb-24,1101,D,"Penerimaan tagihan ke PT. Astra Honda Motor atas produk sebesar Rp. 400.000.000,- ditambah beserta pajaknya sebesar Rp. 44.000.000,- invoice tanggal 27 Januari 2024.","444,000,000.00",0.00,"50,444,000,000.00","36,835,555,000.00",,,1/20/2024,2102,K,"Pembelian PT. Konsultan Enginering atas jasa pelatihan pembuatan model X sebesar Rp. 20.000.000,-",0.00,"21,800,000.00","183,150,000.00","11,673,270,000.00",,,01-Feb-24,3101,K,Tambahan modal dari PT. Dharma Automotive,0.00,"50,000,000,000.00",0.00,"50,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,1/25/2024,6103,D,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-","100,000,000.00",0.00,"100,000,000.00",0.00
,29-Feb-24,1101,D,Pembayaran sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.,0.00,"10,900,000.00","50,444,000,000.00","36,846,455,000.00",,,1/31/2024,2102,D,Pembayaran tagihan sewa 1 unit Mobil Alphard ke PT. Adi Sarana Armada Tbk untuk invoice tanggal 12 Januari 2024,"10,900,000.00",0.00,"194,050,000.00","11,673,270,000.00",,,Jumlah Bulan Januari,,,,,,0.00,"50,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Januari,,,,,,"100,000,000.00",0.00
,29-Feb-24,1101,K,Pembayaran tagihan dari PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 untuk invoice tanggal 31 Januari 2024,0.00,"218,000,000.00","50,444,000,000.00","37,064,455,000.00",,,1/31/2024,2102,K,"Penerimaan  tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 72.500.000,- untuk tagihan listrik bulan Januari 2024.",0.00,"72,500,000.00","194,050,000.00","11,745,770,000.00",,,End Balance Bulan Januari,,,,,,"-50,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,End Balance Bulan Januari,,,,,,"100,000,000.00",
,29-Feb-24,1101,D,Penerimaan bunga deposito di Bank BCA periode Februari 2024,"145,000,000.00",0.00,"50,589,000,000.00","37,064,455,000.00",,,1/31/2024,2102,K,"Penerimaan tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 sebesar Rp. 10.000.000,-",0.00,"10,900,000.00","194,050,000.00","11,756,670,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Februari,,,,,,,
,29-Feb-24,1101,K,"Penerimaan pembayaran dari PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000,000,- ditambah pajaknya sebesar Rp 40.920.000,- invoice tanggal 30 Januari 2024.","412,920,000.00",0.00,"51,001,920,000.00","37,064,455,000.00",,,1/31/2024,2102,K,Penerimaan tagihan PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 dengan biaya Rp. 50.000.000/unit,0.00,"218,000,000.00","194,050,000.00","11,974,670,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Feb-24,6103,D,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-","750,000,000.00",0.00,"750,000,000.00",0.00
,Jumlah Bulan Februari,,,,,,"51,001,920,000.00","37,064,455,000.00",,,Jumlah Bulan Januari,,,,,,"194,050,000.00","11,974,670,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Februari,,,,,,"750,000,000.00",0.00
,End Balance Bulan Februari,,,,,,"35,178,415,000.00",,,,End Balance Bulan Januari,,,,,,"-11,780,620,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End Balance Bulan Februari,,,,,,"850,000,000.00",
,,,,,,,,,,,Februari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-Feb-24,2102,,"Pembayaran tagihan PT. Konsultan Enginering sebesar Rp. 21.800.000,- dari invoice tanggal 20 Januari 2024","21,800,000.00",0.00,"21,800,000.00",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account 1102 - Deposito,,,,,,,,,,05-Feb-24,2102,,Pembayaran tagihan pembelian 2 mobil merek Toyota Avanza sebesar Rp. 610.500.000 dari invoice 5 Januari 2024,"610,500,000.00",0.00,"632,300,000.00",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Account 6104 (Salaries Expense – GA),,,,,,,
,Januari,,,,,,,,,,05-Feb-24,2102,,"Pembelian tambahan 5 mesin produksi dengan biaya sebesar Rp. 2.000.000.000,-/per unit kepada PT. KM Digitech Indonesia.",0.00,"11,100,000,000.00","632,300,000.00","11,100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Januari,,,,,,,
,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,07-Feb-24,2102,,"Pembayaran tagihan PT. Cikarang Listrindo Tbk untuk listrik bulan Januari 2024 sebesar Rp. 72.500.000,- invoice tanggal 31 Januari 2024","72,500,000.00",0.00,"704,800,000.00","11,100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit
,01-Feb-24,1102,D,Pembayaran deposito di Bank BCA,"30,000,000,000.00",0.00,"30,000,000,000.00",0.00,,,08-Feb-24,2102,,"Pembayaran tagihan PT. Cyberindo Indonesia untuk internet bulan Januari 2024 dari  sebesar Rp. 10.900.000,- invoice tanggal 31 Januari 2024","10,900,000.00",0.00,"715,700,000.00","11,100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/25/24,6104,D,"Pembayaran gaji karyawan bulan Januari 2024 sebesar Rp. 750.000.000,- dan PPh 21 sebesar Rp. 55.000.000,-",150000000,0.00,"150,000,000.00",0.00
,Jumlah Bulan Februari,,,,,,"30,000,000,000.00",0.00,,,12-Feb-24,2102,,Pembayaran tagihan PT. Indojaya Electric atas pembelian 10 unit CCTV untuk invoice tanggal 13 Januari 2024.,"13,320,000.00",0.00,"729,020,000.00","11,100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Januari,,,,,,"150,000,000.00",0.00
,End Balance Bulan Februari,,,,,,"30,000,000,000.00",,,,12-Feb-24,2102,,Pengajuan sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.,0.00,"10,900,000.00","729,020,000.00","11,110,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End Balance Bulan Januari,,,,,,"150,000,000.00",
,,,,,,,,,,,14-Feb-24,2102,,Pembayaran tagihan PT. Daya Digital Indonesia atas annual licensing Software Enginering CATIA invoice tanggal 15 Januari 2024.,"66,600,000.00",0.00,"795,620,000.00","11,110,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Februari,,,,,,,
,,,,,,,,,,,14-Feb-24,2102,,Pembayaran tagihan PT. Daya Digital Indonesia atas pembelian Software Enginering CATIA invoice tanggal 15 Januari 2024.,"222,000,000.00",0.00,"1,017,620,000.00","11,110,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Feb-24,6104,D,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-","375,000,000.00",0.00,"375,000,000.00",0.00
,Account 1103 - AR Trade Local (Non Related parties),,,,,,,,,,29-Feb-24,2102,,Pembayaran sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.,"10,900,000.00",0.00,"1,028,520,000.00","11,110,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah Bulan Februari,,,,,,"375,000,000.00",0.00
,Januari,,,,,,,,,,29-Feb-24,2102,,Pembayaran tagihan dari PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 untuk invoice tanggal 31 Januari 2024,"218,000,000.00",0.00,"1,246,520,000.00","11,110,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End Balance Bulan Februari,,,,,,"525,000,000.00",
,Tanggal,Nomor Akun,Ref,Keterangan,Debit,Kredit,Saldo Debit,Saldo Kredit,,,29-Feb-24,2102,,"Penerimaan tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 75.000.000,- untuk tagihan listrik bulan Februari 2024.",0.00,"75,000,000.00","1,246,520,000.00","11,185,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27/2024,1103,D,"Penjualan Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 8.000 Pcs dengan harga @50.000/Pcs sebesar Rp. 400.000.000,-","444,000,000.00",0.00,"444,000,000.00",0.00,,,29-Feb-24,2102,,"Penerimaan tagihan pemakaian internet bulan Februari 2024 dari PT. Cyberindo Indonesia sebesar Rp. 10.000.000,-",0.00,"10,900,000.00","1,246,520,000.00","11,196,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
