,,,,,,,,,,,,,
,,01/03/2024,Pembelian aset gedung dan bangunan,"-27,750,000,000.00",,,,,,02/04/2024,Pembayaran deposito ke Bank BCA,"-30,000,000,000.00",
,,01/20/2024,"Pembayaran tagihan PT. Era Jaya Swasembada Tbk untuk pembelian laptop sebesar Rp. 166,500,000.00,- invoice tanggal 05 Januari 2024.","-166,500,000.00",,,,,,02/12/2024,Pembayaran tagihan PT. Indojaya Electric atas pembelian 10 unit CCTV untuk invoice tanggal 13 Januari 2024.,"-13,320,000.00",
,,01/20/2024,"Pembayaran tagihan PT. Anugrah Terindah untuk perlengkapan kantor sebesar Rp. 16,650,000.00.- invoice tanggal 05 Januari 2024.","-16,650,000.00",,,,,,02/14/2024,Pembayaran tagihan PT. Daya Digital Indonesia atas pembelian Software Enginering CATIA invoice tanggal 15 Januari 2024.,"-222,000,000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Jumlah Kas Tersedia Dari Kegiatan Investasi,,,"-27,933,150,000.00",,,,,Jumlah Kas Tersedia Dari Kegiatan Investasi,,,"-30,235,320,000.00"
,,,,,,,,,,,,,
,,Arus Kas Dari Kegiatan Pendanaan,,,,,,,,Arus Kas Dari Kegiatan Pendanaan,,,
,,01/02/2024,Pembentukan perusahaan dan penanaman modal,"50,000,000,000.00",,,,,,02/01/2024,Tambahan modal dari PT. Dharma Automotive,"50,000,000,000.00",
,,,,,,,,,,,,,
,,Jumlah Kas Tersedia Dari Kegiatan Pendanaan,,,"50,000,000,000.00",,,,,Jumlah Kas Tersedia Dari Kegiatan Pendanaan,,,"50,000,000,000.00"
,,,,,,,,,,,,,
,,Pergerakan Bersih Atas Kas,,,"21,240,950,000.00",,,,,Pergerakan Bersih Atas Kas,,,"13,937,465,000.00"
,,,,,,,,,,,,,
,,SALDO AKHIR KAS,,,"21,240,950,000.00",,,,,SALDO AKHIR KAS,,,"35,178,415,000.00"
,,,,,,,,,,,,,
,,,,Check,TRUE,,,,,,,Check,TRUE
,,,,Control,0.00,,,,,,,Control,0.00
,,,,,,,,,,,,,
